reaction,toxicity_theme,count
Mental Status Changes,Other / Unmapped,1
Gastric Ulcer Haemorrhage,Other / Unmapped,1
Opportunistic Infection,Immune System,1
Moraxella Test Positive,Other / Unmapped,1
Effusion,Other / Unmapped,1
Dermatophytosis Of Nail,Other / Unmapped,1
Hepatorenal Failure,Other / Unmapped,1
Oligomenorrhoea,Other / Unmapped,1
Respiratory Distress,Other / Unmapped,1
Myositis,Other / Unmapped,1
Urosepsis,Other / Unmapped,1
Acute Pulmonary Oedema,Other / Unmapped,1
Intestinal Obstruction,Other / Unmapped,1
Lung Infiltration,Other / Unmapped,1
Blood Phosphorus Increased,Other / Unmapped,1
Deep Vein Thrombosis,Cell Adhesion,1
Arteriosclerosis Coronary Artery,Other / Unmapped,1
Thyroglobulin Increased,Other / Unmapped,1
Haematocrit Decreased,Other / Unmapped,1
Hepatic Lesion,Other / Unmapped,1
Renal Injury,Other / Unmapped,1
Salmonellosis,Other / Unmapped,1
Therapeutic Product Effect Decreased,Other / Unmapped,1
Peritoneal Tuberculosis,Other / Unmapped,1
Metastases To Abdominal Cavity,Other / Unmapped,1
Metastases To Thorax,Other / Unmapped,1
Cerebrovascular Accident,Other / Unmapped,1
Dysgraphia,Other / Unmapped,1
Lymphocyte Count Decreased,Other / Unmapped,1
Appendicitis,Other / Unmapped,1
Blood Triglycerides Increased,Other / Unmapped,1
Seizure,Neurological,1
Hair Disorder,Other / Unmapped,1
Overdose,Other / Unmapped,1
Hypokalaemia,Other / Unmapped,1
Pustule,Other / Unmapped,1
Joint Swelling,Other / Unmapped,1
Arthritis Bacterial,Other / Unmapped,1
Renal Failure,Other / Unmapped,1
Oral Fungal Infection,Immune System,1
Blood Alkaline Phosphatase Decreased,Other / Unmapped,1
Acne Cystic,Other / Unmapped,1
Deformity Of Orbit,Other / Unmapped,1
Hair Growth Abnormal,Other / Unmapped,1
Blood Oestrogen Decreased,Other / Unmapped,1
Atrial Fibrillation,Other / Unmapped,1
Hypoproteinaemia,Other / Unmapped,1
Prostatic Obstruction,Other / Unmapped,1
Dry Eye,Other / Unmapped,1
Haemoglobin Abnormal,Other / Unmapped,1
Mallory-Weiss Syndrome,Other / Unmapped,1
Oesophagitis,Other / Unmapped,1
Ulcerative Keratitis,Other / Unmapped,1
Ocular Discomfort,Other / Unmapped,1
Haemorrhage Intracranial,Other / Unmapped,1
Therapy Non-Responder,Other / Unmapped,1
Meniscus Injury,Other / Unmapped,1
Bone Disorder,Other / Unmapped,1
Pulmonary Pain,Other / Unmapped,1
Depressed Level Of Consciousness,Other / Unmapped,1
Ulcer,Other / Unmapped,1
Skin Disorder,Other / Unmapped,1
Anal Rash,Other / Unmapped,1
General Symptom,Other / Unmapped,1
Metastases To Meninges,Other / Unmapped,1
Irritability,Other / Unmapped,1
Amenorrhoea,Other / Unmapped,1
Localised Infection,Immune System,1
Hip Fracture,Other / Unmapped,1
Psychomotor Hyperactivity,Other / Unmapped,1
Flushing,Other / Unmapped,1
Faeces Hard,Other / Unmapped,1
Haematochezia,Other / Unmapped,1
Increased Upper Airway Secretion,Other / Unmapped,1
Procedural Pain,Other / Unmapped,1
Feeling Cold,Other / Unmapped,1
Haemoglobin Increased,Other / Unmapped,1
Dental Discomfort,Other / Unmapped,1
Lip Scab,Other / Unmapped,1
Mass,Other / Unmapped,1
Lymphadenopathy,Other / Unmapped,1
Pleural Thickening,Other / Unmapped,1
