uniprot_id,go_id,aspect,evidence_code,assigned_by
P08183,GO:1905039,P,IMP,ARUK-UCL
P08183,GO:1990961,P,IGI,ARUK-UCL
P08183,GO:1990961,P,TAS,BHF-UCL
P08183,GO:1990961,P,IDA,ARUK-UCL
P08183,GO:1990961,P,IMP,ARUK-UCL
P08183,GO:1990962,P,IMP,ARUK-UCL
P08183,GO:1990962,P,ISS,ARUK-UCL
P08183,GO:1990962,P,IC,ARUK-UCL
P08183,GO:2001225,P,IMP,CAFA
P08684,GO:0002933,P,IEA,UniProt
P08684,GO:0002933,P,IDA,BHF-UCL
P08684,GO:0006629,P,IEA,UniProt
P08684,GO:0006629,P,TAS,PINC
P08684,GO:0006631,P,IEA,UniProt
P08684,GO:0006694,P,IEA,UniProt
P08684,GO:0006706,P,IMP,BHF-UCL
P08684,GO:0006805,P,IDA,BHF-UCL
P08684,GO:0006805,P,TAS,Reactome
P08684,GO:0008202,P,IEA,UniProt
P08684,GO:0008202,P,IDA,BHF-UCL
P08684,GO:0008202,P,IMP,BHF-UCL
P08684,GO:0008203,P,IEA,UniProt
P08684,GO:0008209,P,TAS,BHF-UCL
P08684,GO:0008210,P,IEA,UniProt
P08684,GO:0008210,P,IDA,UniProt
P08684,GO:0009822,P,IEA,UniProt
P08684,GO:0009822,P,IDA,BHF-UCL
P08684,GO:0016098,P,IDA,BHF-UCL
P08684,GO:0036378,P,IEA,GOC
P08684,GO:0042178,P,IEA,UniProt
P08684,GO:0042178,P,IDA,BHF-UCL
P08684,GO:0042178,P,IMP,BHF-UCL
P08684,GO:0042359,P,IDA,BHF-UCL
P08684,GO:0042369,P,IDA,UniProt
P08684,GO:0042572,P,IEA,UniProt
P08684,GO:0042572,P,IDA,UniProt
P08684,GO:0042573,P,IEA,UniProt
P08684,GO:0042573,P,IDA,UniProt
P08684,GO:0042759,P,TAS,Reactome
P08684,GO:0046222,P,IEA,UniProt
P08684,GO:0046222,P,TAS,Reactome
P08684,GO:0070989,P,IEA,UniProt
P08684,GO:0070989,P,IDA,BHF-UCL
P09619,GO:0006935,P,IEA,UniProt
P09619,GO:0007165,P,IDA,UniProt
P09619,GO:0007169,P,IEA,InterPro
P09619,GO:0007186,P,IEA,GOC
P09619,GO:0008284,P,IMP,UniProt
P09619,GO:0014805,P,NAS,BHF-UCL
P09619,GO:0014911,P,ISS,UniProt
P09619,GO:0014911,P,ISS,BHF-UCL
P09619,GO:0014911,P,IMP,UniProt
P09619,GO:0016477,P,IEA,UniProt
P09619,GO:0018108,P,IDA,UniProt
P09619,GO:0030335,P,IDA,BHF-UCL
P09619,GO:0030335,P,IMP,UniProt
P09619,GO:0032956,P,ISS,BHF-UCL
P09619,GO:0035441,P,ISS,UniProt
P09619,GO:0035791,P,IMP,UniProt
P09619,GO:0035793,P,ISS,UniProt
P09619,GO:0035909,P,ISS,BHF-UCL
P09619,GO:0036120,P,IEA,GOC
P09619,GO:0038091,P,IEA,UniProt
P09619,GO:0038091,P,IDA,BHF-UCL
P09619,GO:0043406,P,ISS,UniProt
P09619,GO:0045840,P,ISS,UniProt
P09619,GO:0046777,P,IDA,UniProt
P09619,GO:0048008,P,IEA,InterPro
P09619,GO:0048008,P,IDA,UniProt
P09619,GO:0048008,P,IDA,BHF-UCL
P09619,GO:0048661,P,ISS,UniProt
P09619,GO:0048661,P,IMP,UniProt
P09619,GO:0050850,P,IEA,UniProt
P09619,GO:0050850,P,IMP,UniProt
P09619,GO:0050921,P,ISS,UniProt
P09619,GO:0051897,P,ISS,UniProt
P09619,GO:0051897,P,IEA,UniProt
P09619,GO:0051897,P,IDA,UniProt
P09619,GO:0051897,P,IDA,BHF-UCL
P09619,GO:0055003,P,ISS,UniProt
P09619,GO:0060326,P,IDA,BHF-UCL
P09619,GO:0060326,P,IDA,UniProt
P09619,GO:0060981,P,ISS,UniProt
P09619,GO:0061298,P,ISS,UniProt
P09619,GO:0070374,P,ISS,UniProt
P09619,GO:0070374,P,IMP,UniProt
P09619,GO:0071670,P,ISS,BHF-UCL
P09619,GO:0072262,P,ISS,UniProt
P09619,GO:0072277,P,ISS,UniProt
P09619,GO:0090280,P,ISS,UniProt
P09619,GO:2000379,P,ISS,UniProt
P09619,GO:2000573,P,ISS,UniProt
P10632,GO:0002933,P,IDA,BHF-UCL
P10632,GO:0006082,P,IDA,BHF-UCL
P10632,GO:0006629,P,IEA,UniProt
P10632,GO:0006721,P,IEA,UniProt
P10632,GO:0006805,P,IDA,BHF-UCL
P10632,GO:0006805,P,TAS,Reactome
P10632,GO:0008202,P,IEA,UniProt
P10632,GO:0008202,P,IDA,BHF-UCL
