reaction,count
Lung Infiltration,1
Blood Phosphorus Increased,1
Deep Vein Thrombosis,1
Arteriosclerosis Coronary Artery,1
Thyroglobulin Increased,1
Haematocrit Decreased,1
Hepatic Lesion,1
Renal Injury,1
Salmonellosis,1
Therapeutic Product Effect Decreased,1
Peritoneal Tuberculosis,1
Metastases To Abdominal Cavity,1
Metastases To Thorax,1
Cerebrovascular Accident,1
Dysgraphia,1
Lymphocyte Count Decreased,1
Appendicitis,1
Blood Triglycerides Increased,1
Seizure,1
Hair Disorder,1
Overdose,1
Hypokalaemia,1
Pustule,1
Joint Swelling,1
Arthritis Bacterial,1
Renal Failure,1
Oral Fungal Infection,1
Blood Alkaline Phosphatase Decreased,1
Acne Cystic,1
Deformity Of Orbit,1
Hair Growth Abnormal,1
Blood Oestrogen Decreased,1
Atrial Fibrillation,1
Hypoproteinaemia,1
Prostatic Obstruction,1
Dry Eye,1
Haemoglobin Abnormal,1
Mallory-Weiss Syndrome,1
Oesophagitis,1
Ulcerative Keratitis,1
Ocular Discomfort,1
Haemorrhage Intracranial,1
Therapy Non-Responder,1
Meniscus Injury,1
Bone Disorder,1
Pulmonary Pain,1
Depressed Level Of Consciousness,1
Ulcer,1
Skin Disorder,1
Anal Rash,1
General Symptom,1
Metastases To Meninges,1
Irritability,1
Amenorrhoea,1
Localised Infection,1
Hip Fracture,1
Psychomotor Hyperactivity,1
Flushing,1
Faeces Hard,1
Haematochezia,1
Increased Upper Airway Secretion,1
Procedural Pain,1
Feeling Cold,1
Haemoglobin Increased,1
Dental Discomfort,1
Lip Scab,1
Mass,1
Lymphadenopathy,1
Pleural Thickening,1
Chylothorax,1
Gastrointestinal Toxicity,1
Cardiomyopathy,1
Mouth Haemorrhage,1
Oral Mucosal Blistering,1
